BP,VMP,ORIGINAL
1.0,1.0,0.9970703125
1.0,1.0,0.87890625
1.0,1.0,0.892578125
1.0,1.0,0.794921875
1.0,1.0,0.9921875
1.0,1.0,0.9169921875
1.0,1.0,0.6044921875
1.0,0.998046875,0.8515625
1.0,1.0,0.9814453125
0.9990234375,0.998046875,0.83203125
1.0,1.0,0.923828125
0.9970703125,0.998046875,0.96484375
1.0,1.0,0.9990234375
0.9990234375,1.0,0.953125
0.9990234375,1.0,0.9873046875
1.0,1.0,0.8740234375
1.0,1.0,0.9912109375
1.0,1.0,0.9443359375
1.0,1.0,0.6552734375
0.9990234375,1.0,0.97265625
1.0,1.0,0.8330078125
0.9990234375,1.0,0.986328125
1.0,1.0,0.9970703125
0.9990234375,0.9990234375,1.0
1.0,0.9990234375,0.994140625
1.0,1.0,0.890625
1.0,1.0,0.7900390625
0.9990234375,1.0,0.9990234375
1.0,1.0,0.9990234375
1.0,1.0,0.9736328125
1.0,0.9990234375,0.9833984375
1.0,0.9990234375,0.6162109375
1.0,0.998046875,0.7353515625
1.0,1.0,0.99609375
1.0,1.0,0.92578125
1.0,1.0,1.0
1.0,0.9990234375,0.9990234375
1.0,1.0,0.8974609375
1.0,1.0,0.93359375
1.0,0.9970703125,0.9970703125
1.0,1.0,0.9921875
1.0,0.9970703125,0.8603515625
1.0,0.9990234375,0.966796875
0.99609375,1.0,0.63671875
1.0,1.0,0.62890625
1.0,1.0,0.9091796875
1.0,1.0,1.0
1.0,1.0,0.9619140625
1.0,1.0,1.0
1.0,1.0,0.9912109375
0.9990234375,0.9990234375,0.982421875
0.9990234375,0.9990234375,0.935546875
1.0,1.0,0.9501953125
0.9990234375,0.9990234375,0.9970703125
1.0,1.0,0.9619140625
1.0,1.0,0.96875
0.9990234375,1.0,0.9794921875
1.0,1.0,0.98828125
1.0,1.0,1.0
1.0,1.0,0.7734375
1.0,1.0,0.958984375
1.0,1.0,0.837890625
0.9970703125,0.9990234375,0.994140625
1.0,0.9970703125,0.9677734375
1.0,1.0,0.966796875
0.9990234375,1.0,0.953125
1.0,1.0,0.9931640625
0.9970703125,1.0,0.9541015625
1.0,1.0,0.9990234375
0.9990234375,1.0,0.9990234375
0.9990234375,1.0,0.962890625
1.0,1.0,0.990234375
1.0,1.0,0.9267578125
1.0,0.9990234375,0.9375
1.0,1.0,0.9912109375
0.9970703125,1.0,0.6103515625
0.9990234375,1.0,0.9970703125
0.9990234375,1.0,0.9990234375
1.0,1.0,0.994140625
1.0,1.0,0.9931640625
1.0,1.0,0.9775390625
1.0,1.0,0.7578125
0.9990234375,1.0,0.9677734375
1.0,1.0,0.8369140625
1.0,1.0,0.99609375
1.0,1.0,0.9990234375
0.9990234375,1.0,1.0
1.0,0.9990234375,0.9384765625
1.0,1.0,0.51953125
0.9990234375,1.0,0.89453125
0.998046875,0.998046875,0.65234375
1.0,0.99609375,0.7421875
1.0,1.0,0.9951171875
1.0,1.0,0.97265625
1.0,1.0,0.8642578125
1.0,1.0,0.9287109375
1.0,1.0,0.9306640625
1.0,0.9990234375,0.7939453125
1.0,1.0,0.998046875
0.9990234375,1.0,0.966796875
1.0,1.0,0.9716796875
1.0,1.0,0.9951171875
1.0,1.0,0.98046875
1.0,1.0,0.900390625
1.0,0.9990234375,0.9951171875
1.0,1.0,0.99609375
1.0,1.0,0.5947265625
1.0,1.0,0.974609375
1.0,1.0,0.912109375
1.0,0.9990234375,0.95703125
1.0,1.0,0.9970703125
1.0,1.0,0.9599609375
1.0,1.0,0.880859375
1.0,1.0,0.984375
1.0,1.0,1.0
1.0,1.0,0.96484375
0.9990234375,0.9990234375,0.9970703125
1.0,1.0,0.728515625
1.0,1.0,0.7568359375
1.0,1.0,0.7392578125
0.9990234375,0.9951171875,0.890625
1.0,1.0,0.6923828125
1.0,1.0,0.98046875
0.9990234375,1.0,0.740234375
1.0,1.0,0.9892578125
1.0,0.9951171875,0.9853515625
1.0,1.0,0.9970703125
1.0,1.0,0.9912109375
1.0,1.0,1.0
1.0,1.0,0.861328125
1.0,1.0,0.927734375
1.0,1.0,0.9892578125
1.0,1.0,0.998046875
1.0,1.0,0.99609375
1.0,1.0,0.978515625
0.9990234375,0.9990234375,1.0
1.0,1.0,0.9658203125
0.9990234375,0.9990234375,0.5625
0.9990234375,1.0,0.9931640625
1.0,0.9990234375,0.9970703125
1.0,1.0,1.0
0.9990234375,1.0,0.9697265625
1.0,1.0,0.9951171875
0.9990234375,1.0,0.9892578125
1.0,0.9990234375,0.9990234375
1.0,1.0,0.9765625
1.0,1.0,0.9970703125
1.0,1.0,0.849609375
1.0,1.0,0.9921875
1.0,1.0,1.0
0.9990234375,1.0,0.853515625
1.0,1.0,0.9931640625
1.0,0.9990234375,0.9912109375
1.0,1.0,0.9169921875
0.9990234375,1.0,0.9951171875
1.0,1.0,0.9765625
1.0,1.0,0.9130859375
0.998046875,0.9990234375,0.96484375
1.0,1.0,0.9970703125
1.0,1.0,0.701171875
0.998046875,0.9990234375,0.9736328125
1.0,1.0,0.9970703125
0.9990234375,1.0,0.994140625
0.9990234375,0.998046875,0.9892578125
1.0,1.0,0.99609375
1.0,1.0,0.990234375
1.0,1.0,0.9990234375
1.0,1.0,0.5947265625
1.0,1.0,0.990234375
0.998046875,0.9990234375,0.998046875
1.0,1.0,0.826171875
1.0,1.0,0.9990234375
1.0,1.0,0.951171875
1.0,1.0,0.9287109375
1.0,1.0,0.974609375
1.0,1.0,1.0
1.0,1.0,0.9765625
0.9990234375,0.9990234375,1.0
1.0,0.9970703125,0.98828125
1.0,1.0,0.9892578125
1.0,0.9990234375,0.9931640625
0.994140625,0.994140625,0.9521484375
1.0,1.0,0.98046875
1.0,1.0,0.9970703125
1.0,1.0,0.98828125
0.994140625,1.0,0.93359375
0.9990234375,1.0,0.998046875
1.0,1.0,0.9951171875
1.0,1.0,0.9521484375
1.0,1.0,0.87109375
1.0,1.0,0.998046875
1.0,1.0,0.9912109375
1.0,1.0,0.94921875
1.0,1.0,0.986328125
0.9990234375,1.0,0.990234375
0.9970703125,0.998046875,0.9765625
1.0,1.0,0.9580078125
0.9990234375,1.0,0.9951171875
1.0,1.0,0.986328125
1.0,1.0,0.9990234375
1.0,0.9970703125,0.9072265625
1.0,0.9990234375,0.98046875
0.9990234375,0.998046875,0.9912109375
1.0,1.0,1.0
1.0,1.0,0.8935546875
1.0,1.0,0.9990234375
0.9990234375,1.0,0.958984375
1.0,1.0,0.9814453125
1.0,1.0,0.779296875
1.0,0.9970703125,0.9619140625
1.0,1.0,0.9716796875
0.9990234375,1.0,0.978515625
1.0,1.0,0.9951171875
0.9990234375,0.9990234375,0.2880859375
1.0,1.0,0.9521484375
1.0,1.0,1.0
0.9990234375,0.9970703125,0.5087890625
1.0,1.0,0.974609375
1.0,1.0,0.8271484375
1.0,1.0,0.982421875
1.0,1.0,0.9306640625
1.0,1.0,0.9892578125
1.0,1.0,0.9677734375
1.0,0.9990234375,0.9638671875
1.0,0.998046875,0.951171875
0.998046875,1.0,0.6748046875
1.0,1.0,0.9873046875
1.0,1.0,0.9306640625
1.0,1.0,0.9931640625
0.9990234375,0.998046875,0.9990234375
1.0,1.0,0.9462890625
1.0,0.9990234375,0.9453125
1.0,1.0,0.9755859375
1.0,1.0,0.9091796875
0.9990234375,1.0,1.0
0.9990234375,1.0,0.9306640625
1.0,1.0,0.953125
1.0,0.9990234375,0.9609375
1.0,1.0,0.9677734375
1.0,1.0,0.9521484375
0.9990234375,1.0,0.955078125
0.9990234375,0.998046875,0.970703125
0.9990234375,1.0,0.9375
1.0,0.9990234375,0.9287109375
1.0,1.0,0.8720703125
0.9990234375,1.0,0.9619140625
1.0,0.9990234375,0.9697265625
1.0,0.9990234375,0.99609375
0.9990234375,0.9990234375,0.935546875
1.0,1.0,0.9541015625
0.9990234375,0.9990234375,0.7666015625
1.0,1.0,0.974609375
1.0,1.0,0.9306640625
1.0,1.0,0.9462890625
1.0,0.998046875,0.9599609375
1.0,1.0,0.8916015625
1.0,1.0,0.9638671875
1.0,1.0,0.2783203125
1.0,1.0,0.5751953125
1.0,0.9990234375,0.5234375
0.998046875,0.994140625,0.62109375
1.0,1.0,0.9990234375
0.9990234375,1.0,0.986328125
1.0,1.0,0.9873046875
1.0,1.0,0.98828125
0.9990234375,0.9990234375,0.9140625
1.0,1.0,0.7109375
0.9990234375,1.0,0.98828125
1.0,1.0,0.9990234375
1.0,1.0,0.9873046875
1.0,1.0,0.6162109375
1.0,1.0,1.0
1.0,0.9990234375,0.984375
0.9990234375,1.0,0.8662109375
0.998046875,1.0,0.9931640625
0.9990234375,1.0,0.9921875
1.0,1.0,0.9912109375
1.0,1.0,0.9013671875
1.0,1.0,0.9658203125
1.0,1.0,0.9462890625
1.0,1.0,0.958984375
0.9990234375,0.9990234375,0.82421875
1.0,1.0,0.98828125
0.9990234375,0.9990234375,0.951171875
1.0,0.998046875,0.9677734375
0.9990234375,0.9990234375,0.984375
1.0,1.0,0.9228515625
0.9970703125,1.0,0.9638671875
0.9951171875,0.982421875,0.9638671875
1.0,1.0,0.9482421875
1.0,0.9990234375,0.998046875
1.0,1.0,0.9912109375
1.0,0.9990234375,0.890625
1.0,0.9990234375,0.9345703125
1.0,0.9990234375,0.763671875
1.0,0.9990234375,0.9853515625
1.0,1.0,0.8349609375
1.0,1.0,0.9951171875
1.0,1.0,0.98828125
1.0,0.9990234375,0.9931640625
1.0,1.0,0.998046875
0.9990234375,1.0,0.9482421875
0.99609375,0.9990234375,0.880859375
1.0,1.0,0.2001953125
1.0,1.0,0.99609375
1.0,1.0,0.99609375
1.0,0.9990234375,0.9951171875
1.0,1.0,1.0
0.9990234375,1.0,0.974609375
0.9990234375,0.9990234375,0.9970703125
1.0,1.0,0.98828125
1.0,1.0,1.0
1.0,1.0,0.990234375
1.0,1.0,0.9990234375
1.0,1.0,0.9892578125
0.9990234375,0.998046875,0.853515625
1.0,1.0,0.859375
1.0,1.0,0.953125
1.0,1.0,0.998046875
1.0,1.0,0.9794921875
1.0,1.0,0.99609375
1.0,0.9990234375,0.9951171875
1.0,1.0,0.99609375
1.0,1.0,0.9990234375
1.0,1.0,0.9892578125
1.0,0.998046875,0.9111328125
1.0,1.0,0.998046875
1.0,0.9990234375,0.984375
1.0,1.0,0.9228515625
1.0,1.0,0.9892578125
0.9990234375,1.0,0.9443359375
1.0,0.998046875,0.96484375
1.0,1.0,0.939453125
1.0,1.0,0.966796875
1.0,1.0,0.978515625
0.9990234375,0.9990234375,0.98046875
1.0,0.9990234375,0.908203125
1.0,1.0,0.8603515625
0.994140625,1.0,0.9970703125
1.0,1.0,0.990234375
1.0,1.0,0.98828125
1.0,1.0,0.984375
1.0,0.9990234375,0.8369140625
1.0,1.0,0.986328125
1.0,0.9970703125,0.8857421875
1.0,1.0,1.0
1.0,1.0,0.96484375
1.0,0.9990234375,0.9931640625
1.0,1.0,0.99609375
1.0,1.0,0.970703125
1.0,1.0,0.8310546875
1.0,1.0,0.8603515625
1.0,1.0,0.990234375
1.0,1.0,0.9912109375
1.0,1.0,1.0
1.0,1.0,0.98828125
0.9990234375,0.9990234375,0.990234375
1.0,0.9990234375,0.9482421875
1.0,1.0,0.9189453125
1.0,1.0,0.9921875
1.0,1.0,0.9990234375
1.0,1.0,0.98828125
0.9892578125,1.0,0.998046875
1.0,0.9990234375,0.9970703125
1.0,1.0,0.9931640625
1.0,1.0,0.87890625
1.0,1.0,0.7216796875
1.0,0.9990234375,0.98046875
1.0,1.0,0.9970703125
1.0,1.0,0.9912109375
1.0,1.0,0.9912109375
0.9990234375,1.0,1.0
1.0,1.0,0.9970703125
1.0,1.0,0.9169921875
1.0,1.0,0.96875
1.0,1.0,0.9951171875
0.9990234375,0.9970703125,0.748046875
0.9990234375,1.0,0.9453125
1.0,1.0,0.9931640625
1.0,1.0,0.974609375
1.0,1.0,0.9892578125
1.0,1.0,0.8994140625
1.0,1.0,0.9560546875
1.0,1.0,0.9462890625
1.0,0.9990234375,0.50390625
1.0,1.0,0.9951171875
1.0,1.0,0.8623046875
1.0,1.0,0.8525390625
0.9990234375,1.0,0.9404296875
1.0,1.0,0.9130859375
1.0,0.9990234375,0.9345703125
0.998046875,0.998046875,0.9765625
1.0,1.0,0.9697265625
0.9990234375,1.0,0.8349609375
0.9990234375,1.0,0.984375
1.0,0.9921875,0.9091796875
1.0,1.0,0.994140625
1.0,1.0,0.9814453125
1.0,1.0,0.98046875
1.0,0.9931640625,0.759765625
1.0,1.0,0.9931640625
1.0,1.0,0.9912109375
0.9990234375,0.998046875,0.9697265625
1.0,1.0,0.7119140625
1.0,1.0,0.9609375
1.0,1.0,0.9833984375
0.9990234375,1.0,0.93359375
1.0,1.0,0.9384765625
1.0,1.0,0.99609375
1.0,1.0,0.9990234375
0.9990234375,0.998046875,0.9541015625
1.0,1.0,0.759765625
1.0,1.0,0.8876953125
1.0,1.0,0.998046875
0.9990234375,0.9990234375,0.966796875
0.9990234375,0.9990234375,0.958984375
1.0,1.0,0.978515625
1.0,1.0,0.154296875
0.998046875,0.9990234375,0.9453125
0.9990234375,0.99609375,0.9609375
1.0,1.0,0.9580078125
0.9990234375,1.0,0.974609375
1.0,1.0,0.931640625
0.9990234375,0.9990234375,0.8017578125
1.0,1.0,0.77734375
0.9990234375,0.9990234375,0.9755859375
1.0,1.0,1.0
1.0,1.0,0.9296875
1.0,1.0,0.994140625
0.9990234375,0.9990234375,0.9912109375
0.9990234375,1.0,0.8193359375
0.9990234375,1.0,0.9970703125
1.0,1.0,0.9990234375
1.0,1.0,0.9013671875
1.0,1.0,0.9921875
1.0,1.0,0.9296875
1.0,1.0,0.97265625
1.0,1.0,0.9267578125
1.0,1.0,0.962890625
1.0,1.0,0.990234375
1.0,0.99609375,0.9814453125
1.0,1.0,0.97265625
1.0,1.0,0.76953125
1.0,1.0,0.970703125
1.0,1.0,0.9990234375
1.0,1.0,0.986328125
1.0,1.0,0.9951171875
1.0,1.0,0.9697265625
1.0,1.0,0.8525390625
1.0,1.0,0.9921875
1.0,1.0,0.97265625
1.0,1.0,0.8955078125
1.0,1.0,0.9833984375
1.0,1.0,0.9951171875
1.0,1.0,0.9892578125
0.9990234375,0.9990234375,0.998046875
1.0,1.0,0.9697265625
1.0,1.0,0.98046875
1.0,0.9931640625,0.6748046875
1.0,1.0,0.9609375
1.0,1.0,0.921875
1.0,1.0,0.9013671875
1.0,1.0,0.6064453125
0.9990234375,1.0,1.0
1.0,1.0,0.99609375
1.0,1.0,0.98046875
1.0,0.998046875,0.994140625
1.0,1.0,0.9853515625
1.0,0.9990234375,0.939453125
1.0,0.9990234375,0.7197265625
1.0,1.0,0.9765625
1.0,1.0,0.919921875
0.9990234375,1.0,0.9599609375
0.9990234375,1.0,0.9697265625
1.0,1.0,0.791015625
1.0,1.0,0.9541015625
1.0,0.9990234375,0.83203125
1.0,1.0,0.9853515625
1.0,1.0,0.9765625
1.0,1.0,0.97265625
1.0,1.0,1.0
1.0,1.0,0.919921875
1.0,1.0,0.9638671875
1.0,1.0,0.7431640625
1.0,0.9990234375,0.986328125
1.0,1.0,0.9990234375
1.0,1.0,0.9990234375
1.0,1.0,0.9990234375
0.9990234375,0.9990234375,0.94140625
0.9990234375,1.0,0.96484375
1.0,1.0,0.990234375
1.0,1.0,0.98828125
1.0,0.9990234375,0.9873046875
1.0,1.0,0.9736328125
1.0,1.0,1.0
1.0,1.0,0.9658203125
0.9990234375,1.0,0.927734375
1.0,1.0,1.0
1.0,1.0,0.7724609375
1.0,1.0,0.9697265625
0.9990234375,1.0,0.99609375
1.0,1.0,0.9150390625
